1,ベンチプレス,8,12,3,A,https://www.youtube.com/embed/EnncONDxMWU
2,スクワット,8,12,3,A,https://www.youtube.com/embed/Ooh9UadsZgc
3,ラットプルダウン,8,12,3,A,https://www.youtube.com/embed/HKWTXnnMTnA
4,クランチ,15,20,3,A,https://www.youtube.com/embed/eDYn0DXfc5g
5,ベンチプレス,8,12,3,B,https://www.youtube.com/embed/EnncONDxMWU
6,ショルダープレス,8,12,3,B,https://www.youtube.com/embed/BNycNbf976k
7,ケーブルプッシュダウン,10,15,3,B,https://www.youtube.com/embed/bcHyj5v44wc
8,クランチ,15,20,3,B,https://www.youtube.com/embed/eDYn0DXfc5g
9,スクワット,8,12,3,C,https://www.youtube.com/embed/Ooh9UadsZgc
10,ラットプルダウン,8,12,3,C,https://www.youtube.com/embed/HKWTXnnMTnA
11,アームカール,8,12,3,C,https://www.youtube.com/embed/RFhNsarWNc0
12,アブローラー,15,20,3,C,https://www.youtube.com/embed/0elA_tn8m_A
13,ベンチプレス,8,12,3,D,https://www.youtube.com/embed/EnncONDxMWU
14,ショルダープレス,8,12,3,D,https://www.youtube.com/embed/BNycNbf976k
15,サイドレイズ,8,12,3,D,https://www.youtube.com/embed/iyG4kZcc_tY
16,ケーブルプッシュダウン,15,20,3,D,https://www.youtube.com/embed/bcHyj5v44wc
17,ラットプルダウン,8,12,3,E,https://www.youtube.com/embed/HKWTXnnMTnA
18,シーテッドローイング,8,12,3,E,https://www.youtube.com/embed/oWemJmyof-g
19,アームカール,8,12,3,E,https://www.youtube.com/embed/RFhNsarWNc0
20,クランチ,15,20,3,E,https://www.youtube.com/embed/eDYn0DXfc5g
21,スクワット,8,12,3,F,https://www.youtube.com/embed/Ooh9UadsZgc
22,レッグエクステンション,10,15,3,F,https://www.youtube.com/embed/7TYGDkrfv-c
23,ブルガリアンスクワット,10,15,3,F,https://www.youtube.com/embed/qT_9rcwDTLI
24,アブローラー,15,20,3,F,https://www.youtube.com/embed/0elA_tn8m_A
25,ベンチプレス,8,12,3,G,https://www.youtube.com/embed/EnncONDxMWU
26,ダンベルフライ,10,15,3,G,https://www.youtube.com/embed/lJgYWy4FMIw
27,ショルダープレス,8,12,3,G,https://www.youtube.com/embed/BNycNbf976k
28,ケーブルプッシュダウン,15,20,3,G,https://www.youtube.com/embed/bcHyj5v44wc
29,スクワット,8,12,3,H,https://www.youtube.com/embed/Ooh9UadsZgc
30,レッグエクステンション,10,15,3,H,https://www.youtube.com/embed/7TYGDkrfv-c
31,ブルガリアンスクワット,10,15,3,H,https://www.youtube.com/embed/qT_9rcwDTLI
32,アブローラー,15,20,3,H,https://www.youtube.com/embed/0elA_tn8m_A
33,インクラインベンチプレス,8,12,3,I,https://www.youtube.com/embed/9dWFuDJIEKE
34,チェストプレス,8,12,3,I,https://www.youtube.com/embed/oLhXVJq_ZxU
35,サイドレイズ,10,15,3,I,https://www.youtube.com/embed/iyG4kZcc_tY
36,バーベルカール,10,15,3,I,https://www.youtube.com/embed/RFhNsarWNc0
37,ラットプルダウン,8,12,3,J,https://www.youtube.com/embed/HKWTXnnMTnA
38,シーテッドローイング,8,12,3,J,https://www.youtube.com/embed/oWemJmyof-g
39,ルーマニアンデッドリフト,8,12,3,J,https://www.youtube.com/embed/i0wMqM5iKqg
40,クランチ,15,20,3,J,https://www.youtube.com/embed/eDYn0DXfc5g
41,ベンチプレス,8,12,3,K,https://www.youtube.com/embed/EnncONDxMWU
42,インクラインベンチプレス,8,12,3,K,https://www.youtube.com/embed/9dWFuDJIEKE
43,ケーブルクロスオーバー,10,15,3,K,https://www.youtube.com/embed/brKDh7AIOuw
44,ケーブルプッシュダウン,15,20,3,K,https://www.youtube.com/embed/bcHyj5v44wc
45,スクワット,8,12,3,L,https://www.youtube.com/embed/Ooh9UadsZgc
46,レッグエクステンション,10,15,3,L,https://www.youtube.com/embed/7TYGDkrfv-c
47,レッグカール,10,15,3,L,https://www.youtube.com/embed/xMcjjK0E0m8
48,アブローラー,15,20,3,L,https://www.youtube.com/embed/0elA_tn8m_A
49,チェストプレス,8,12,3,M,https://www.youtube.com/embed/oLhXVJq_ZxU
50,ショルダープレス,8,12,3,M,https://www.youtube.com/embed/BNycNbf976k
51,サイドレイズ,10,15,3,M,https://www.youtube.com/embed/iyG4kZcc_tY
52,ディップス,15,20,3,M,https://www.youtube.com/embed/Aa3UT4KG7WY
53,ブルガリアンスクワット,8,12,3,N,https://www.youtube.com/embed/qT_9rcwDTLI
54,レッグカール,8,12,3,N,https://www.youtube.com/embed/xMcjjK0E0m8
55,アームカール,8,12,3,N,https://www.youtube.com/embed/RFhNsarWNc0
56,有酸素運動（自由）,20,30,3,N,
57,ラットプルダウン,10,15,3,O,https://www.youtube.com/embed/HKWTXnnMTnA
58,シーテッドローイング,10,15,3,O,https://www.youtube.com/embed/oWemJmyof-g
59,ルーマニアンデッドリフト,10,15,3,O,https://www.youtube.com/embed/i0wMqM5iKqg
60,クランチ,15,20,3,O,https://www.youtube.com/embed/eDYn0DXfc5g
61,ベンチプレス,6,10,3,P,https://www.youtube.com/embed/EnncONDxMWU
62,スクワット,6,10,3,P,https://www.youtube.com/embed/Ooh9UadsZgc
63,デッドリフト,6,10,3,P,https://www.youtube.com/embed/i0wMqM5iKqg
64,クランチ,15,20,3,P,https://www.youtube.com/embed/eDYn0DXfc5g
65,ベンチプレス,6,10,3,Q,https://www.youtube.com/embed/EnncONDxMWU
66,ショルダープレス,8,12,3,Q,https://www.youtube.com/embed/BNycNbf976k
67,ケーブルプッシュダウン,10,15,3,Q,https://www.youtube.com/embed/bcHyj5v44wc
68,クランチ,15,20,3,Q,https://www.youtube.com/embed/eDYn0DXfc5g
69,スクワット,6,10,3,R,https://www.youtube.com/embed/Ooh9UadsZgc
70,ラットプルダウン,8,12,3,R,https://www.youtube.com/embed/HKWTXnnMTnA
71,デッドリフト,6,10,3,R,https://www.youtube.com/embed/i0wMqM5iKqg
72,アームカール,15,20,3,R,https://www.youtube.com/embed/RFhNsarWNc0
73,ベンチプレス,8,12,3,S,https://www.youtube.com/embed/EnncONDxMWU
74,ショルダープレス,8,12,3,S,https://www.youtube.com/embed/BNycNbf976k
